Type,Disease,Year,variable,value
Genes,Multiple Sclerosis,2015,Prevalence corr coefficient,0.678351164415908
Genes,Parkinson Disease,2015,Prevalence corr coefficient,0.43514540222204
Genes,Alzheimer's Disease,2016,Prevalence corr coefficient,0.266898706633353
Genes,Multiple Sclerosis,2016,Prevalence corr coefficient,0.676113338970057
Genes,Parkinson Disease,2016,Prevalence corr coefficient,0.450617411659831
Genes,Alzheimer's Disease,2017,Prevalence corr coefficient,0.281606377312187
Genes,Multiple Sclerosis,2017,Prevalence corr coefficient,0.674091445714293
Genes,Parkinson Disease,2017,Prevalence corr coefficient,0.467479349763049
Genes,Alzheimer's Disease,2018,Prevalence corr coefficient,0.294175069882399
Genes,Multiple Sclerosis,2018,Prevalence corr coefficient,0.675089605285964
Genes,Parkinson Disease,2018,Prevalence corr coefficient,0.486038791325998
Genes,Alzheimer's Disease,1992,Incidence p_pe,0.510162661504285
Genes,Multiple Sclerosis,1992,Incidence p_pe,1.35827393926372e-05
Genes,Parkinson Disease,1992,Incidence p_pe,0.0957927450453913
Genes,Alzheimer's Disease,1993,Incidence p_pe,0.555057512226755
Genes,Multiple Sclerosis,1993,Incidence p_pe,5.59152703720519e-06
Genes,Parkinson Disease,1993,Incidence p_pe,0.0951439363687696
Genes,Alzheimer's Disease,1994,Incidence p_pe,0.35796179315894
Genes,Multiple Sclerosis,1994,Incidence p_pe,7.51742095317678e-07
Genes,Parkinson Disease,1994,Incidence p_pe,0.0414709403238927
Genes,Alzheimer's Disease,1995,Incidence p_pe,0.531952882663225
Genes,Multiple Sclerosis,1995,Incidence p_pe,1.74132261148856e-05
Genes,Parkinson Disease,1995,Incidence p_pe,0.0607952977136438
Genes,Alzheimer's Disease,1996,Incidence p_pe,0.664244299893832
Genes,Multiple Sclerosis,1996,Incidence p_pe,8.960904204332e-06
Genes,Parkinson Disease,1996,Incidence p_pe,0.058294777981721
Genes,Alzheimer's Disease,1998,Incidence p_pe,0.715489013799898
Genes,Multiple Sclerosis,1998,Incidence p_pe,1.88058461887691e-06
Genes,Parkinson Disease,1998,Incidence p_pe,0.0279001556557356
Genes,Alzheimer's Disease,1997,Incidence p_pe,0.748660303228134
Genes,Multiple Sclerosis,1997,Incidence p_pe,5.0762843988217e-06
Genes,Parkinson Disease,1997,Incidence p_pe,0.0472348854516226
Genes,Alzheimer's Disease,1999,Incidence p_pe,0.59194854873906
Genes,Multiple Sclerosis,1999,Incidence p_pe,2.04895149011908e-06
Genes,Parkinson Disease,1999,Incidence p_pe,0.0168497520141525
Genes,Alzheimer's Disease,2000,Incidence p_pe,0.553929558680508
Genes,Multiple Sclerosis,2000,Incidence p_pe,2.43412509219571e-06
Genes,Parkinson Disease,2000,Incidence p_pe,0.0171451742147573
Genes,Alzheimer's Disease,2001,Incidence p_pe,0.493322166958303
Genes,Multiple Sclerosis,2001,Incidence p_pe,3.01739946328135e-06
Genes,Parkinson Disease,2001,Incidence p_pe,0.0145283048609145
Genes,Alzheimer's Disease,2002,Incidence p_pe,0.465375974463777
Genes,Multiple Sclerosis,2002,Incidence p_pe,3.67753933310436e-06
Genes,Parkinson Disease,2002,Incidence p_pe,0.0166692234776267
Genes,Alzheimer's Disease,2003,Incidence p_pe,0.345524725886364
Genes,Multiple Sclerosis,2003,Incidence p_pe,9.38305696907707e-06
Genes,Parkinson Disease,2003,Incidence p_pe,0.0130114173549896
Genes,Alzheimer's Disease,2004,Incidence p_pe,0.325325056547283
Genes,Multiple Sclerosis,2004,Incidence p_pe,1.57778464158501e-05
Genes,Parkinson Disease,2004,Incidence p_pe,0.0151691455779373
Genes,Alzheimer's Disease,2005,Incidence p_pe,0.29043512124589
Genes,Multiple Sclerosis,2005,Incidence p_pe,1.54382809615814e-05
Genes,Parkinson Disease,2005,Incidence p_pe,0.0122595313440997
Genes,Alzheimer's Disease,2006,Incidence p_pe,0.261808801300043
Genes,Multiple Sclerosis,2006,Incidence p_pe,1.97043318087856e-05
Genes,Parkinson Disease,2006,Incidence p_pe,0.0116574773287121
Genes,Alzheimer's Disease,2007,Incidence p_pe,0.237043197926441
Genes,Multiple Sclerosis,2007,Incidence p_pe,4.86549864812675e-05
Genes,Parkinson Disease,2007,Incidence p_pe,0.0111092322477561
Genes,Alzheimer's Disease,2008,Incidence p_pe,0.169364122284658
Genes,Multiple Sclerosis,2008,Incidence p_pe,6.02285873770969e-05
Genes,Parkinson Disease,2008,Incidence p_pe,0.00883364004885223
Genes,Alzheimer's Disease,2009,Incidence p_pe,0.152211508059489
Genes,Multiple Sclerosis,2009,Incidence p_pe,0.000102291794908121
Genes,Parkinson Disease,2009,Incidence p_pe,0.00901715398337672
Genes,Alzheimer's Disease,2010,Incidence p_pe,0.133650862459007
Genes,Multiple Sclerosis,2010,Incidence p_pe,9.54535963638898e-05
Genes,Parkinson Disease,2010,Incidence p_pe,0.00746914576542479
Genes,Alzheimer's Disease,2011,Incidence p_pe,0.128570447429984
Genes,Multiple Sclerosis,2011,Incidence p_pe,8.82096324238519e-05
Genes,Parkinson Disease,2011,Incidence p_pe,0.00800061257018466
Genes,Alzheimer's Disease,2012,Incidence p_pe,0.112940108944735
Genes,Multiple Sclerosis,2012,Incidence p_pe,0.00010192541693485
Genes,Parkinson Disease,2012,Incidence p_pe,0.00752308198850361
Genes,Alzheimer's Disease,2013,Incidence p_pe,0.0927492795067359
Genes,Multiple Sclerosis,2013,Incidence p_pe,9.43022656355071e-05
Genes,Parkinson Disease,2013,Incidence p_pe,0.00637987739955983
Genes,Alzheimer's Disease,2014,Incidence p_pe,0.0767103310462689
Genes,Multiple Sclerosis,2014,Incidence p_pe,0.000113268023197807
Genes,Parkinson Disease,2014,Incidence p_pe,0.00567299465935459
Genes,Alzheimer's Disease,2015,Incidence p_pe,0.0620244757637203
Genes,Multiple Sclerosis,2015,Incidence p_pe,0.000137672358307869
Genes,Parkinson Disease,2015,Incidence p_pe,0.00477593592011281
Genes,Alzheimer's Disease,2016,Incidence p_pe,0.0479604868670149
Genes,Multiple Sclerosis,2016,Incidence p_pe,0.000163873227625818
Genes,Parkinson Disease,2016,Incidence p_pe,0.00483522092743089
Genes,Alzheimer's Disease,2017,Incidence p_pe,0.0362132749353831
Genes,Multiple Sclerosis,2017,Incidence p_pe,0.000186556629200963
Genes,Parkinson Disease,2017,Incidence p_pe,0.00383231484936863
Genes,Alzheimer's Disease,2018,Incidence p_pe,0.0276312865957821
Genes,Multiple Sclerosis,2018,Incidence p_pe,0.000187708346353921
Genes,Parkinson Disease,2018,Incidence p_pe,0.00218284306248075
Genes,Alzheimer's Disease,1992,Prevalence p_pe,0.498087816360381
Genes,Multiple Sclerosis,1992,Prevalence p_pe,4.91851991069191e-06
Genes,Parkinson Disease,1992,Prevalence p_pe,0.110047073508683
Genes,Alzheimer's Disease,1993,Prevalence p_pe,0.566179134433723
Genes,Multiple Sclerosis,1993,Prevalence p_pe,1.68221684745592e-06
Genes,Parkinson Disease,1993,Prevalence p_pe,0.118228818612867
Genes,Alzheimer's Disease,1994,Prevalence p_pe,0.378594479007207
Genes,Multiple Sclerosis,1994,Prevalence p_pe,9.52901876562193e-08
Genes,Parkinson Disease,1994,Prevalence p_pe,0.0543324935591855
Genes,Alzheimer's Disease,1995,Prevalence p_pe,0.56687705359008
Genes,Multiple Sclerosis,1995,Prevalence p_pe,2.41290541610297e-06
Genes,Parkinson Disease,1995,Prevalence p_pe,0.0856977041086671
Genes,Alzheimer's Disease,1996,Prevalence p_pe,0.705306227268274
Genes,Multiple Sclerosis,1996,Prevalence p_pe,1.02263120530075e-06
Genes,Parkinson Disease,1996,Prevalence p_pe,0.0843622484290954
Genes,Alzheimer's Disease,1998,Prevalence p_pe,0.803675204395345
