State,Region,Disease,KG_Pest,Incidence,Prevalence
Maryland,Northeast,Parkinson Disease,40261457.35,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,4389530.35,237.057759217269,1775.8541035194
Massachusetts,Northeast,Brain Neoplasms,4257016.75,9.9145269880391,30.377619298294
Massachusetts,Northeast,Epilepsy,4271149.55,40.7778003653311,384.097639558942
Massachusetts,Northeast,Migraine Disorders,3906620.65,1144.15954618357,17688.9244955588
Massachusetts,Northeast,Multiple Sclerosis,4356779.75,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,4386527.9,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,168349831.4,233.085800008891,1787.50578490159
Michigan,Midwest,Brain Neoplasms,158340896.95,9.09046549007823,21.3049542221727
Michigan,Midwest,Epilepsy,166141759.9,44.7461980314354,430.492313980339
Michigan,Midwest,Migraine Disorders,144974597.05,1100.07282635307,15962.6906937225
Michigan,Midwest,Multiple Sclerosis,166679407.45,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,168162573.05,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,343272143.25,191.305688318083,1420.59326101927
Minnesota,Midwest,Brain Neoplasms,321666787.2,9.4191461708931,31.3578432837352
Minnesota,Midwest,Epilepsy,340409738.1,37.494488767748,322.840090241148
Minnesota,Midwest,Migraine Disorders,294548855.7,1152.90559612363,17080.3447603516
Minnesota,Midwest,Multiple Sclerosis,341589286.8,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,342636793.35,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,156562914,169.385610622705,1236.36904915091
Mississippi,Southeast,Brain Neoplasms,150022681.7,8.78392132795706,19.0960144158632
Mississippi,Southeast,Epilepsy,153027110.05,36.3970932569357,310.849497891316
Mississippi,Southeast,Migraine Disorders,119528891,1183.15764229126,17248.0979138891
Mississippi,Southeast,Multiple Sclerosis,153517220.2,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,155204215.95,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,251816875.45,222.562573344265,1670.79941311553
Missouri,Midwest,Brain Neoplasms,243785509.6,8.75862991699552,23.502072539434
Missouri,Midwest,Epilepsy,248944482.85,39.8465140826062,363.301599043507
Missouri,Midwest,Migraine Disorders,214269061.1,1151.93968726538,17135.5374427897
Missouri,Midwest,Multiple Sclerosis,249821861.05,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,251465721.25,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,114407946.65,226.020560147788,1630.52616702313
Montana,West,Brain Neoplasms,106248475.25,9.54355213167812,25.7592474959409
Montana,West,Epilepsy,113634184.9,40.5323851743432,371.897401387271
Montana,West,Migraine Disorders,74919665.2,1097.02149074877,16661.1997591066
Montana,West,Multiple Sclerosis,113869703.25,4.54811617284947,184.338465418355
