variable,value,Pvalue,DPGenes,CDGenes,ORAp
Unique pathways,1285,Fisher p < 0.05,10,10,0.001
Unique chem-dis,1262,Fisher p < 0.05,10,10,0.001
Unique chem-path,169132,Fisher p < 0.05,10,10,0.001
Unique chem-path-dis,546749,Fisher p < 0.05,10,10,0.001
Unique chemicals,200,Fisher p < 0.05,10,20,0.01
Unique genes,3448,Fisher p < 0.05,10,20,0.01
Unique pathways,1424,Fisher p < 0.05,10,20,0.01
Unique chem-dis,840,Fisher p < 0.05,10,20,0.01
Unique chem-path,158786,Fisher p < 0.05,10,20,0.01
Unique chem-path-dis,482085,Fisher p < 0.05,10,20,0.01
Unique chemicals,200,Fisher p < 0.05,10,20,0.001
Unique genes,3385,Fisher p < 0.05,10,20,0.001
Unique pathways,1285,Fisher p < 0.05,10,20,0.001
Unique chem-dis,840,Fisher p < 0.05,10,20,0.001
Unique chem-path,148780,Fisher p < 0.05,10,20,0.001
Unique chem-path-dis,432560,Fisher p < 0.05,10,20,0.001
Unique chemicals,317,Fisher p < 0.05,20,3,0.01
Unique genes,3411,Fisher p < 0.05,20,3,0.01
Unique pathways,882,Fisher p < 0.05,20,3,0.01
Unique chem-dis,1731,Fisher p < 0.05,20,3,0.01
Unique chem-path,142459,Fisher p < 0.05,20,3,0.01
Unique chem-path-dis,445321,Fisher p < 0.05,20,3,0.01
Unique chemicals,317,Fisher p < 0.05,20,3,0.001
Unique genes,3366,Fisher p < 0.05,20,3,0.001
Unique pathways,836,Fisher p < 0.05,20,3,0.001
Unique chem-dis,1731,Fisher p < 0.05,20,3,0.001
Unique chem-path,137384,Fisher p < 0.05,20,3,0.001
Unique chem-path-dis,423315,Fisher p < 0.05,20,3,0.001
Unique chemicals,286,Fisher p < 0.05,20,5,0.01
Unique genes,3409,Fisher p < 0.05,20,5,0.01
Unique pathways,882,Fisher p < 0.05,20,5,0.01
Unique chem-dis,1548,Fisher p < 0.05,20,5,0.01
Unique chem-path,139724,Fisher p < 0.05,20,5,0.01
Unique chem-path-dis,433205,Fisher p < 0.05,20,5,0.01
Unique chemicals,286,Fisher p < 0.05,20,5,0.001
Unique genes,3364,Fisher p < 0.05,20,5,0.001
Unique pathways,836,Fisher p < 0.05,20,5,0.001
Unique chem-dis,1548,Fisher p < 0.05,20,5,0.001
Unique chem-path,134705,Fisher p < 0.05,20,5,0.001
Unique chem-path-dis,411815,Fisher p < 0.05,20,5,0.001
Unique chemicals,248,Fisher p < 0.05,20,10,0.01
Unique genes,3407,Fisher p < 0.05,20,10,0.01
Unique pathways,882,Fisher p < 0.05,20,10,0.01
Unique chem-dis,1262,Fisher p < 0.05,20,10,0.01
Unique chem-path,132822,Fisher p < 0.05,20,10,0.01
Unique chem-path-dis,401374,Fisher p < 0.05,20,10,0.01
Unique chemicals,248,Fisher p < 0.05,20,10,0.001
Unique genes,3362,Fisher p < 0.05,20,10,0.001
Unique pathways,836,Fisher p < 0.05,20,10,0.001
Unique chem-dis,1262,Fisher p < 0.05,20,10,0.001
Unique chem-path,127951,Fisher p < 0.05,20,10,0.001
Unique chem-path-dis,381440,Fisher p < 0.05,20,10,0.001
Unique chemicals,200,Fisher p < 0.05,20,20,0.01
Unique genes,3398,Fisher p < 0.05,20,20,0.01
Unique pathways,882,Fisher p < 0.05,20,20,0.01
Unique chem-dis,840,Fisher p < 0.05,20,20,0.01
Unique chem-path,117590,Fisher p < 0.05,20,20,0.01
Unique chem-path-dis,319964,Fisher p < 0.05,20,20,0.01
Unique chemicals,200,Fisher p < 0.05,20,20,0.001
Unique genes,3353,Fisher p < 0.05,20,20,0.001
Unique pathways,836,Fisher p < 0.05,20,20,0.001
Unique chem-dis,840,Fisher p < 0.05,20,20,0.001
Unique chem-path,112877,Fisher p < 0.05,20,20,0.001
Unique chem-path-dis,303474,Fisher p < 0.05,20,20,0.001
