State,Region,Disease,SNPHits_Pest,Incidence,Prevalence
Vermont,Northeast,Parkinson Disease,46.4069716775599,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,55.0764840182649,186.533443133339,1380.27367930327
Virginia,Southeast,Multiple Sclerosis,31.5444947209653,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,39.7293103448276,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,58.3935185185185,177.546327658036,1270.29075890444
Washington,West,Multiple Sclerosis,32.9418569254186,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,41.668509895227,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,58.0416811392845,246.397293208741,1868.78708907877
West Virginia,Southeast,Multiple Sclerosis,32.9996335654086,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,41.975464423414,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,57.7320830542532,207.485906784764,1504.62890393489
Wisconsin,Midwest,Multiple Sclerosis,33.0797740910695,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,41.3171553758005,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,59.6258992805755,173.551599018126,1229.19619872237
Wyoming,West,Multiple Sclerosis,32.5950804162725,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,41.4393530997305,43.1262841847604,154.988867761039
